loc,scale,alpha,Epoch 1/4,Epoch 2/4,Epoch 3/4,Epoch 4/4,Test
0.0,0.045,0.4,0.8870333333333333,0.9070166666666667,0.9152333333333333,0.9190333333333334,0.9204
0.0,0.045,0.4666666666666667,0.8861833333333333,0.9167833333333333,0.9251666666666667,0.9309833333333334,0.9293
0.0,0.045,0.5333333333333333,0.897,0.9147,0.9091666666666667,0.9251,0.9263
0.0,0.045,0.6000000000000001,0.8061666666666667,0.9078333333333334,0.91705,0.92165,0.9177
0.0,0.045,0.6666666666666667,0.90465,0.9231,0.9313333333333333,0.9354833333333333,0.9324
0.0,0.045,0.7333333333333334,0.47373333333333334,0.7134,0.8856666666666667,0.90045,0.8999
0.0,0.045,0.8,0.6356666666666667,0.7223,0.6830833333333334,0.7928833333333334,0.7586
0.0,0.045,0.8666666666666667,0.70115,0.8862,0.8331666666666667,0.9180333333333334,0.9165
0.0,0.045,0.9333333333333333,0.8590666666666666,0.8995666666666666,0.9012333333333333,0.7806333333333333,0.7378
0.0,0.045,1.0,0.5659666666666666,0.7906666666666666,0.8730666666666667,0.8890166666666667,0.8919
